No.,Sku,Shipping,Payment,Orden creada
26,"DW02154GTY000000002000065094,DD11999GTN000000002000071329,FB22212GTY000000002000085800,DW02007GBN000000002000071076",Vitro Autoglass_Dallas 09:00 AM,Credito,
27,"DW02154GTY000000002000065094,FW03667GTY000000002000068189",Vitro Autoglass_Dallas 12:00 PM,Credito,
28,"DW01512GBN000000002000009252,DW01551GTY000000002000009599,FW03621GBN000000002000063914",Vitro Autoglass_Dallas 02:00 PM,Credito,
29,"FW00663GBN000000002000007937,DW01747GBY000000002000053355,DW01818GTN000000002000026383",Overnight,Credito,
30,"DW01303GTN000000002000008727,DW01302GTN000000002000008728,FW02267GBN000000002000008951",Sending by external carrier,Credito,
31,"DW01949GTY000000002000068550,DW01659GBYCE000000002000017971,DW02571GYY000000002000085732",Store Pickup,Credito,
32,"DW01580GBN000000002000017029,DW02498GTY000000002000080614",Vitro Autoglass_Dallas 09:00 AM,Credito,
33,"DW01638GBY000000002000095479,DW02041GTY000000002000050988",Vitro Autoglass_Dallas 12:00 PM,Credito,
34,"DW01731GTN000000002000058148,FW02314GBN000000002000016219,FW02955GBY000000002000062296,DW01308GTN000000002000008774,FW02627GBY000000002000012834,DW01525GTN000000002000025609,FW02011ZTN000000002000095443,DW01099GBN000000002000008299",Vitro Autoglass_Dallas 02:00 PM,Credito,
35,"DW02409GTY000000002000074238,FW02218GBN000000002000009257,2000054615",Overnight,Credito,
36,"FW03198GBY000000002000065662,9000024278,DW01676GBN000000002000095475",Sending by external carrier,Tarjeta,
37,"DW01732GTN000000002000058150,FW04876GTY000000002000079550,DW01440GTN000000002000095298",Store Pickup,Tarjeta,
38,"DW01665GTY000000002000096346,DW01659GTY000000002000009617,FW02510GBN000000002000016960,FW03621GBY000000002000058474",Vitro Autoglass_Dallas 09:00 AM,Tarjeta,
39,"DW01851GBY000000002000061664,FW03240GBY000000002000062251,FW02814GBN000000002000062714",Vitro Autoglass_Dallas 12:00 PM,Tarjeta,
40,"DW01747GTY000000002000071085,FW03898GTY000000002000071087,DW01656GTN000000002000095266",Vitro Autoglass_Dallas 02:00 PM,Tarjeta,
41,"DW01582GTN000000002000012814,DW01590GBN000000002000023403,FW02925GBN000000002000026119",Overnight,Tarjeta,
42,"FW02062GBN000000002000008722,DW01708GBN000000002000024678,FW03873GTY000000002000095348",Sending by external carrier,Tarjeta,
43,"DW00864GTN000000002000095594,FW00772GBN000000002000008517,DD11934GTY000000002000084691",Store Pickup,Tarjeta,
44,"FW05176GTY000000002000091489,DW02543GTY000000002000085480,DW02231GTY000000002000095663",Vitro Autoglass_Dallas 09:00 AM,Tarjeta,
45,"DW01140GBN000000002000008305,DB11597YPY000000002000071133,FW03456GBN000000002000097880,DD09479GTN000000002000011545",Vitro Autoglass_Dallas 12:00 PM,Tarjeta,
46,"DW01683GBN000000002000023415,DW01683GBN000000002000023415,DW01494GTY000000002000054332,DW01693GTY000000002000068094",Vitro Autoglass_Dallas 02:00 PM,Tarjeta,
47,"DW02459GTY000000002000080437,FW05205GTY000000002000086895,DW02276GBY000000002000095482",Overnight,Tarjeta,
48,DW01962GTN000000002000095742,Sending by external carrier,Tarjeta,
49,"FW02391GBN000000002000014984,DW02419GTN000000002000069874",Store Pickup,Tarjeta,
50,"DW01648GBN000000002000095761,DW01075GBN000000002000095862,FD26497GTY000000002000096167",Vitro Autoglass_Dallas 09:00 AM,Tarjeta,
